"","X","V1","V2","bindtext"
"525","t_title24","柯文哲道歉後... 陸媒：鄙視、陸網友：雙城論壇別辦了","2018-05-10 14:27"," 台北市長柯文哲日前接受電台專訪時，對去年於雙城論壇提出「兩岸一家親」言論道歉，再度引發政治風暴。有大陸媒體以「鄙視！」作為新聞標題，大陸網友也表示「雙城論壇是不是別辦了？」，更有人諷刺「台灣最美的風景是詐騙犯」。 柯文哲在昨天播出的電台專訪中稱，他在雙城論壇所說的「兩岸一家親」、「床頭吵床尾和」言論是講太快，當時是希望「可以過關」就好，讓大家聽了不悅，對此道歉。 陸媒環球時報今天也引述台媒的報導，並以「他為兩岸一家親向綠營道歉，鄙視！」為標題，在微博上引發熱議，大陸網友留言，「之前高估他了」、「<U+6CA1>什麼好鄙視的，政治人物，見風轉舵」、「雙城論壇是不是別辦了？」、「如果柯p選上後，又說兩岸一家親了，還是那套說辭，為了迫於民進黨壓力，道個歉，反正選票到手了。」台北市長柯文哲對去年於雙城論壇提出「兩岸一家親」言論道歉，再度引發政治風暴，有大陸媒體以「鄙視！」作為新聞標題。圖／翻攝自微博。分享  facebook   "
"526","t_title25","柯為兩岸一家親道歉 朱立倫：為了選票忘了原則","2018-05-10 11:23","  台北市長柯文哲昨晚接受電台訪問時，為「兩岸一家親」言論道歉，新北市長朱立倫今天上午被問到此事時，先是嘆了一口氣才說，他相信是非黑白會比所謂的政黨色彩來得重要，不必為了一時的選票，忘了原來講過的話或堅持的原則。 民進黨在台北市選舉布局，傳出傾向自提人選，不再禮讓柯文哲，柯文哲昨接受綠色和平廣播電台專訪時對「兩岸一家親」言論解釋，當時是為了降低中國大陸對世大運的阻撓，所以維持2年前論調，「有時候講話快了點，但大家聽了就不爽，只能說抱歉歹勢」。 柯文哲為「兩岸一家親」言論道歉後，引發各方批評，國民黨台北市長參選人丁守中批柯是沒有誠信的政治水母，而新北市長朱立倫今天上午出席市政活動被問到此事，先嘆了一口氣說「我有一點感慨」。 朱立倫表示，他還是相信一件事情，是非黑白會比所謂的政黨色彩來得重要，不必為了一時的選票，或者一時的政黨色彩，就忘了原來講過的話，或忘了堅持的原則。台北市長柯文哲昨晚受訪問為「兩岸一家親」言論道歉，新北市長朱立倫今表示，他相信是非黑白會比所謂的政黨色彩來得重要，不必為了一時的選票，忘了原來講過的話或堅持的原則。記者祁容玉／攝影分享  facebook   "
"527","t_title26","柯文哲道歉 段宜康：我孩子的媽常用的招！","2018-05-10 01:17"," （翻攝段宜康臉書）分享  facebook    台北市長柯文哲日前接受電台專訪，於昨晚播出時，針對去年於雙城論壇提出「兩岸一家親」言論道歉，同時強調絕對會在2020年力挺蔡英文總統，不會出來選，並駁斥「柯文哲2018連任台北市長就會接著選2020總統」說法。民進黨立委段宜康於臉書上貼文指出，柯文哲的目的不是知道分手之勢底定了才趕緊上媒體公開道歉，而是要在開打之後，可以告訴大家他都道歉了，對方還不肯原諒他。 以下是段宜康臉書全文： 一堆人往自己臉上貼金，<U+8AAC>什麼「現在道歉來不及了」之類的<U+510D>話。 你們以為那麼聰明的人，真會直到現在發現把民進黨逼到翻臉，才連忙公開道歉，來拉住臨去的衣角嗎？ 不，才不是！ 這個聰明人知道分手之勢底定了，趕緊安排上綠色媒體公開道歉、保證<U+52B9>忠。 目的是開打之後，可以告訴大家： 你們看，我都這樣做了，她還肯不原諒我！ 這招我很熟悉；孩子的媽常用來對付我。   domready(function() {if ( !countDownStatus ) getCountdown();if ( !highChartsStatus ) getHighcharts();});domready(function() {var channelId = 2;var actArea = ""poll_at_story_0_v487"";var actCode = ""v487"";var actTemplate = ""bar2"";var elemDiv = document.createElement('div');elemDiv.id = actArea;elemDiv.className ='vote_body area';var scr = document.getElementById(actArea+'_script');scr.parentNode.insertBefore(elemDiv, scr);$.getScript('/funcap/actIndex.jsp?actCode=' + actCode + '&channelId=' + channelId , function() {actTemplate = eval('objAct_' + actCode + '.d1.actTemplate');$.ajaxSetup({ cache: true });$.getScript('/func/js/' + actTemplate + '_min.js?2018042601', function() {$.ajaxSetup({ cache: false });piepkg();loadTemplateJs(actTemplate);eval(actTemplate + 'view(""' + '#' + actArea + '"");')})});});"
"528","t_title27","柯文哲為兩岸一家親致歉 王世堅：現在大家已看破他手腳","2018-05-09 20:11","  年底市長選戰開打，民進黨是否禮讓台北市長柯文哲受注目。對於備受民進黨基層批評的「兩岸一家親」言論，柯文哲於節目電台專訪時致歉；台北市民進黨籍市議員王世堅直言，不管柯文哲釋什麼善意，都無法化解過去3年對台灣造成的傷害，現在大家已經看破柯文哲手腳，為了自己政治利益，什麼事都幹得出來，若還有人把柯文哲的話當真，實在讓人吐血。 王世堅表示，不管柯文哲講什麼話、釋什麼善意，都無法化解過去3年對台灣的傷害，這也不是2、3句可以矇過去，更證明柯文哲是個沒心中思想、核心價值的人，到了選舉講才這種話。 對於柯文哲專訪言論，王世堅形容「很噁心」，若還有人把柯文哲的話當真，實在讓人吐血，並質疑柯文哲此舉毫無效果，更恐怕弄巧成拙，因為完全驗證柯文哲見人說人話、見鬼說鬼話，為了想討好綠色選民，獲得民進黨禮讓，才說出這種話。 王世堅批評，哪怕有天新黨、統促黨找柯文哲參加活動或簽書會，恐怕柯文哲又要講另外一套，大家已經看破柯文哲手腳，為了自己政治利益，什麼事都幹得出來，並呼籲民進黨應該自提台北市長人選。台北市民進黨籍市議員王世堅。圖／報系資料照分享  facebook   "
"529","t_title28","觀察站／北市「最強」之戰 75萬票決勝","2018-05-09 14:17","  因民進黨傾向自提人選，年底首都爭霸戰詭譎多變。在野的國民黨除審慎度勢，催出支持者歸隊、爭取反柯反綠的中間選民靠攏，將會是選戰的兩大主軸。 1998年至2010年歷屆台北市長選舉得票情形，國民黨至少可拿下69.2萬選票，前市長馬英九更是在2002年時，在台北市曾拿下87.3萬票；郝龍斌2010年連任之戰也有79.8萬票水準，國民黨歷次北市長選舉均有過半以上的盤。 然而，上屆台北市長選舉，國民黨參選的連勝文僅拿下近61萬票，得票率跌至百分之四十點八二，國民黨陣營分析，近10萬票的藍營基本盤選票未開出，也讓柯文哲以85.4萬票當選，首都市長拱手讓人。 一般分析認為，國民黨輸掉台北市長選舉，有候選人本身的因素，以及馬政府執政大環境不利、太陽花學運催動親綠覺青走入投票所的客觀條件，在主客觀條件的夾擊下，國民黨輸的並不冤。 四年過去，外在環境出現變化，柯文哲在台北市長的執政成績並不亮麗，多項民調顯示，中央執政的民進黨不得民心。國民黨評估，年底台北市長選戰將決戰75萬票，丁守中必須要從上屆61萬票再拿15萬票，首要之務就是喚回基本盤。 外界認為保守、年齡是丁守中的罩門，但民進黨在新北市徵召行政院前院長蘇貞昌後，年齡不會再是丁守中最大的包袱。不過，如何爭取年輕選票，讓年輕選民有感，是丁守中陣營必須盡快克服與突圍的問題。 另外，一旦台北市長三強鼎立的局勢確定，國民黨光靠固守基本盤還不夠，國民黨中央還需擬定年底選戰的主軸與說服民眾投票的論述，才能爭取到政黨色彩較淡的中間選民，為勝選爭添保險。 "
"530","t_title29","北市禮讓柯？民進黨陷焦慮 蔡英文：時間壓力還好","2018-05-08 21:31","  民進黨與否在年底首都市長一役再度禮讓台北市長柯文哲？雖然黨內有不少人非常焦慮，但身兼民進黨主席的蔡英文總統接受台視新聞台專訪表示，對於時間的壓力，「我覺得還好」。她強調，當糾纏在人選的時候，應試圖想想台北市將來的願景，也必須一併考量中央執政的布局。 蔡英文表示，民進黨在這一局，當然有很多不同的考慮，「老實講，民進黨的基層是誰也不能去告訴他們說，一定要往這方向」，「他們會自己有自己的思考的能力」。 「但是，台北市這一局也必須在國民黨的候選人出來之後，我們才會進入到具體的處理階段。」蔡英文表示，民進黨大概已把黨內各系統、具有意見代表性的人，都集結在「選對會」，而選對會也已經正式開始討論；對黨主席來講，都要尊重選對會最後出來的決策，現在還是在整合黨內不同意見。 她表示，當然希望夠很快整合，「但是，時間壓力有沒有那麼大呢？」因為，台北市是一個都會選區，只要是這個候選人有足夠的知名度，其實很快就可以布局，「所以時間的壓力，我覺得還好」。 蔡英文還強調，應該注意一件事情，就是「我們執政的布局」，也就是地方選舉的結果，要有利於中央計畫的執行，尤其是經濟發展計畫的執行，這些都要一起考量。 「換句話說，當我們糾纏在人選的時候，我們應試圖想想：台北市將來的願景？台北市發展過程中面臨的瓶頸要怎麼去解決？」她表示，台北市畢竟是首都，是所有縣市裡面最具指標性的地方，「這個城市，我們要給他們什麼樣的未來？這個才是我們真正要去著眼的事情。」蔡英文總統接受台視新聞台專訪。圖／翻攝台視新聞台分享  facebook   "
"531","t_title30","柯P沒有核心價值？馮光遠：他只是政治瘋子","2018-05-08 10:11"," 民進黨是否禮讓台北市長柯文哲，近期即將拍板定案，不過曾於2014年參選台北市長的作家馮光遠日前在臉書上批評柯文哲毫無核心價值，如果民進黨繼續挺柯文哲這種政治瘋子，絕對將成為反噬民進黨的第一口。 馮光遠表示，丁守中將代表國民黨競逐台北市長，像丁這樣的政治人，一直很堅持他們向來的價值，台北市民當中，很多人就算不能認同藍營價值，可是對丁守中不會有著像對連家一樣的惡感（或，噁感）。 至於民進黨，馮光遠表示，中生代的姚文智是許多泛綠選民願意支持的對象，他相較年輕，可是他的價值也很清楚。 不過馮光遠表示，2014收割白色力量跟民進黨支持者選票的柯文哲，當初在選舉時，大家就完全不知道他的核心價值在哪，如今三年多過去了，終於看清，原來是個自稱「墨綠」實則「暗紅」的素人政客。 馮光遠表示，因為沒有核心價值，柯文哲做事自然反覆，對於誠實、正直這些普世價值從來無感，追求的，都是短暫、利己的目標，身邊也是一堆勢利徒眾。 馮光遠說，台灣的政治走向之爭，始終進行藍、綠、白的競逐，從來就是建築在各自的價值上，彼此路數，互相清楚，政治板塊的移動，也因著各階段各自對價值的詮釋、宣揚而有所變化。 馮光遠強調，也許執政者所持價值不是我們喜歡、追求的，可是無所謂，因為在隨之而來的時間裡，各個黨、公民組合、政治團體，大家知道要怎麼努力，怎麼宣揚自己的價值、理念，爭取下一次選舉的勝利馮光遠說，如果民進黨「高層」的執念 還是「為了阻擋藍營執政只有禮讓柯文哲」，不但完全置自身價值於無物，且渾然不知，他豢養的是一個反覆無常、崇拜威權的自大狂，一個自稱「早於杜特蒂、川普的先知」，柯文哲絕對將成為反噬民進黨的第一口。2014年參選台北市長的作家馮光遠日前在臉書上批評柯文哲毫無核心價值，如果民進黨繼續挺柯文哲這種政治瘋子，絕對將成為反噬民進黨的第一口。圖/截取自馮光遠臉書分享  facebook   "
"532","t_title31","柯文哲稱合作最好 陳明文：選對會思考黨的利益","2018-05-07 19:31"," 民進黨選對會召集人陳明文。聯合報系記者楊萬雲／攝影分享  facebook    台北市長柯文哲今天表示能和民進黨合作最好，民進黨選對會召集人陳明文表示，選對會不是站在柯文哲的立場，「我們是民進黨的選對會，站在民進黨的立場思考民進黨的利益。」 民主進步黨備戰台北市長選舉，選舉對策委員會2日決定徵詢各界意見，徵詢後將在16日決定提名策略。 選對會共同召集人陳明文、共同召集人林錫耀、民進黨秘書長洪耀福和台北市黨部主委黃承國今天早上到前副總統呂秀蓮辦公室拜訪呂秀蓮，下午在中央黨部徵詢立法委員姚文智的意見，接著再到前台南縣長蘇煥智的律師事務所徵詢他的意見。 由於媒體報導兼任民進黨主席的總統蔡英文認為柯文哲和民進黨的價值不同，年底選舉傾向不合作，柯文哲今天在台北市議會面對議員質詢時表示：「可以合作是最好」。 對於柯文哲的說法，陳明文今天徵詢完蘇煥智意見後受訪表示「我們再討論吧！」今天基本上就是徵詢三位擬參選人的意見，接下來就跟里長跟議員坐談，柯文哲的意見就給社會大眾去討論。 媒體詢問陳明文是否覺得柯文哲此言是釋出善意？陳明文笑而不答，他隨後表示，民進黨有民進黨的想法跟做法，現在是站在民進黨的角度，不是站在柯文哲的立場，「我們是2018民進黨的選對會，站在民進黨的立場思考民進黨的利益。」 對於今天的三場徵詢，是否有達成共識？陳明文說，基本上大家都了解民進黨在這次台北市長選舉徵詢的程序，大家都很積極表達有意參選的立場。 對於蘇煥智退黨且會參選到底，陳明文表示，當然希望蘇煥智能夠回到民進黨裡面來討論，但蘇煥智堅持退黨，就尊重蘇煥智。 選對會9日將再次開會討論台北市長選舉策略，10日與台北市里長、黨部執評委座談，傾聽基層意見；11日邀黨提名的台北市議員參選人座談，預計16日的選對會提出最後的方案，再交由黨主席蔡英文裁示。  domready(function() {if ( !countDownStatus ) getCountdown();if ( !highChartsStatus ) getHighcharts();});domready(function() {var channelId = 2;var actArea = ""poll_at_story_0_v479"";var actCode = ""v479"";var actTemplate = ""bar2"";var elemDiv = document.createElement('div');elemDiv.id = actArea;elemDiv.className ='vote_body area';var scr = document.getElementById(actArea+'_script');scr.parentNode.insertBefore(elemDiv, scr);$.getScript('/funcap/actIndex.jsp?actCode=' + actCode + '&channelId=' + channelId , function() {actTemplate = eval('objAct_' + actCode + '.d1.actTemplate');$.ajaxSetup({ cache: true });$.getScript('/func/js/' + actTemplate + '_min.js?2018042601', function() {$.ajaxSetup({ cache: false });piepkg();loadTemplateJs(actTemplate);eval(actTemplate + 'view(""' + '#' + actArea + '"");')})});});"
"533","t_title32","陳明文：民進黨北市若要自提 一定是最強人選","2018-05-07 12:16"," 民進黨選對會今啟動台北市長黨內徵詢之旅，今天一整天馬不停蹄接連徵詢有意參選台北市長人選，包括立委姚文智、前副總統呂秀蓮，及退黨參選的前台南縣長蘇煥智。選對會共同召集人陳明文會後坦言，支持者希望民進黨勝利，若黨自提人選一定會提最強人選，但他仍強調，禮讓或自提人選目前尚未定案。 陳明文說，一般社會地方民進黨支持者希望民進黨提出最強人選，當然是期待民進黨在這次台北市長選戰勝利，「若我們要自提人選就會是最強的，所以現在就在徵詢過程」。陳也強調，下周三選對會就會做出裁定，交由主席，主席認可就會交由中執會決定，因此下周三才會確定是要自提或禮讓。 選對會與呂秀蓮會談近一個小時，會後陳明文表示，呂秀蓮稱會尊重民進黨中央決定，目前是非執政艱困選區的處理程序，必須要徵召的方式，徵召有徵召的方法，今天只是簡單讓她了解。 媒體報導，選對會3日與主席蔡英文在官邸討論選情，蔡英文不滿台北市長柯文哲近日言論，稱柯與民進黨不同心。陳明文否認，並說沒有聽說主席有講這些話，主席基本上接受選對會報告，沒發表個人看法。至於是否可能繼續跟柯文哲見面？陳明文也說，已經拜訪過他，目前沒有這個行程。"
"534","t_title33","雙城連線 侯友宜、丁守中要打團體戰","2018-05-07 00:41"," 年底雙北市長選戰，國民黨已定調「雙城連線」。新北市長參選人侯友宜（右圖，記者胡經周攝影）將和台北市長參選人丁守中（左圖，聯合報系資料照片）討論共同政見。分享  facebook   年底台北市與新北市長的雙城選戰，國民黨已定調「聯合出擊，相互拉抬」，新北市長參選人侯友宜昨表示，近期會和台北市長參選人丁守中連繫，先由幕僚溝通討論出共同政見，兩人再會面商談細節。 相對國民黨的「雙城奇謀」策略，民進黨至今仍陷於是否禮讓台北市長柯文哲的爭論中；民進黨新北市長參選人蘇貞昌昨被問到「會不會期待黨推自家人，雙北聯合競選？」蘇貞昌說「黨中央會有最智慧的決定」，新北市怎麼才會更好，才是他最掛念的事。蘇幕僚補充表示，蘇貞昌接受徵召才一個月左右，還在籌組團隊中，競選合作還沒進入討論，但不會排除在外。 國民黨台北市長參選人由丁守中出線後，雙北市長選戰國民黨的「聯合作戰」策略也逐步浮現，只是聯合作戰的時機、 會以什麼方式推動，仍待進一步討論。 侯友宜昨天表示，「見面會以政見討論為主」，他認為雙北最好先推出共同政見，為雙北市民創造更多福祉。 丁守中競選團隊發言人詹為元表示，一定會跟侯團隊合作，兩人本來就認識且有默契，若彼此正式獲得提名，一定要會面討論雙北政策合作。 侯友宜辦公室表示，雙北合作是選戰基調，過去雙北就有合作平台，所以選戰也會延續，以便讓雙北未來繼續合作，才能共生共榮。雙北地緣接近，多數地區生活型態類似，很多人住新北到台北工作，或是住台北在新北上班，除了行政區域界限，其實彼此生活早已共生共融。 侯辦表示，大台北生活圈難以分割，許多方面如交通、生活都互通，單獨發展不利整體規畫，未來選戰雙北政策也應該通盤思考，以大台北生活圈為考量，交通、空汙等議題都需彼此合作才能解決。 詹為元指出，對於雙北政策合作的初步構想，例如交通月票是否調整，以及萬華第一果菜批發市場改建是要原地改建、或雙北共用場地等，都會是雙北政策合作的內容。 "
"535","t_title34","民進黨變絆腳石？ 孫大千：柯文哲等著綠主動提分手","2018-05-06 09:12"," 前立委孫大千今表示，當民進黨從台北市長柯文哲政治上最佳的「伴侶」，變成進步的「絆腳石」的時候，就是彼此應該考慮分手了。看起來，柯文哲早就準備和民進黨分手了，只不過，他一直希望由民進黨主動開口，讓他順勢成為一個無奈「被分手」的角色。 孫大千說，如果柯文哲真的在意民進黨，他早在八百年前就會修正「兩岸一家親」的論述了，他也不敢大動作的拆除蔡丁貴的萬年帳篷而惹怒獨派，他更不可能高分貝的批判「拔管」是「哪一個白癡做的決定」，對民進黨落井下石。也許，柯文哲有一些白目，但是，他<U+7D76>對不是傻子。 他指出，柯文哲之所以下定決心分手，應該是基於下列幾個考量： 首先，柯文哲早就清楚的了解到，台北市的選民結構已經有了天翻地覆的改變，以年輕世代為骨幹的中間選民的比例已經穩定過半，他只要能夠牢牢的掌握住這股力量，絕對可以憑藉一個人的力量，對抗兩大黨的夾殺。所以，柯文哲才有膽氣大聲的說出，「比藍綠更重要是黑白，比統獨更重要是是非。」 其次，柯文哲決定要放手一搏，走自己的路。今日的柯文哲早已非昔日的吳下阿蒙，與其處處仰人鼻息，受制於人，好像欠了民進黨不知道多大的人情，還不如分道揚鑣，自立門戶。因為，「顏色」對柯文哲來說，已經是一個負擔了！ 同時，由於藍綠兩黨始終受限於傳統的藍綠對決的思考模式，根本沒有辦法獲得年輕世代的認同，導致國民黨依舊在低點徘迴，而民進黨則是持續地雪崩下跌。而這正是讓柯文哲趁勢崛起，直接裂解藍綠基本盤中的淺色選民，再接收中間力量，成為台灣政壇第三勢力的大好時機。 最後，柯文哲在這段期間以來，其實已經吸納了相當程度淺綠的選民，民進黨就算提名，也只是讓原本就不會支持柯文哲的深綠選民歸隊罷了，對柯文哲的影響極為有限。所以，柯文哲正在好整以暇的等待著，民進黨和他說出分手的那一刻的來臨。"
"536","t_title35","阿扁又違規？柯P：他永遠都會是問題 蔡去處理會扣分","2018-05-05 11:53"," 昨天前總統陳水扁參加凱達格蘭基金會舉辦的募款餐會，被台中監獄要求「不上台、不演講、不接受採訪、不談及政治」四不原則，卻打擦邊球，趁義賣之際上台演說。對此台北市長柯文哲今天受訪說，阿扁問題要解決，拖著也不是辦法，蔡英文總統去處理阿扁問題，短期內會扣分，但該處理的問題還是要速戰速決。 凱達格蘭基金會募款餐會上，行程表上並無陳水扁致詞時間，但輪到義賣「台灣勇哥」銅作藝術品時，陳水扁卻踏上自備肥皂箱，以介紹義賣品的名義拿起麥克風演說。扁曾透過「勇哥物語」表示，中監並沒有說不能介紹義賣品。 柯文哲上午出席社大20樂學習嘉年華會後接受媒體聯訪，媒體詢問扁自備木箱在台上義賣，算違規嗎？柯說，小英總統去處理阿扁問題，他認為還是會扣分，但是是這樣，有些事情只要是該做的，雖然明明有扣分，但短期的扣分還是要做，不解決問題一直拖下去也不是辦法。 追問扁的動作有違規嗎？柯答，他（指扁）永遠都會是問題，該解決要解決，拖著不是辦法，還是速戰速決。 北市府發言人劉奕霆事後表示，柯市長「他永遠都會是問題」這句話，市長本意不是指阿扁總統本人，而是「阿扁總統的問題」。 台北市長柯文哲（前排右4）上午出席社大20樂學習嘉年華會。記者魏莨伊／攝影分享  facebook   "
"537","t_title36","不解米其林熱潮！ 台北旅展柯P剪綵：排隊超過5分鐘就不吃","2018-05-04 13:43","  號稱上半年度全台最大國際旅展「台北國際觀光博覽會」今天開幕，希望突破30萬參觀人次。台北市長柯文哲出席剪綵，提到台北今年20家餐廳榮獲米其林評鑑，表示「很難想像有人為了這個一家一家吃，以我的個性，吃飯排隊超過5分鐘就不肯吃。」 台北國際觀光博覽會由台北市旅行商業同業公會舉辦，邁入第12周年，於本月4日至7日在世貿中心一館登場，匯集22個國家、近350個旅遊單位、500個品牌，去年進場人數29萬人次，今年可望一舉突破30萬人次。柯文哲、觀光局長周永暉、與各國觀光駐台單位等出席開幕儀式，觀看表演節目。 今年3月首屆「台北米其林指南」出爐，共20家餐廳摘星，引爆訂位「追星」熱潮。柯文哲說，這些米其林餐廳讓台北市賺很多錢，但「我是很難想像有人為了這個一家一家吃，以我的個性，吃飯排隊超過5分鐘就不肯吃。」柯文哲說，不過就是會有為了米其林排隊的這種人。 他強調台北市發展旅遊業要有3個原則，包括國際化、在地化、產業化，不僅要與國際接軌、加強品質，更要呈現當地特色，與在地產業結合。 柯文哲直言，產業化很重要，「沒賺到錢講一堆都是屁話」，觀光旅遊要賺錢，所以遇到外國朋友，就要拜託他把錢花完再回去。台北市長柯文哲（左三）上午出席2018台北國際觀光博覽會開幕典禮暨台北館開幕活動時與主持人吳鳳（左二）一起包粽子。記者徐兆玄／攝影分享  facebook    想知道更多旅遊美食資訊，請追蹤按讚「udn走跳世界」"
"538","t_title37","吳思瑤挺柯文哲 周玉蔻：投機的政治人物沒好下場","2018-05-03 16:49"," 民進黨立委吳思瑤。聯合報系資料照分享  facebook    國民黨確定由丁守中出戰台北市長，但民進黨仍未決定是否要禮讓現任市長柯文哲，還是自己推派人選。民進黨立委吳思瑤呼籲，民進黨應該要搞清楚對手到底是誰，是柯文哲還是國民黨。此話遭資深媒體人周玉蔻嗆，「投機的政治人物沒有好下場」。 吳思瑤認為，民進黨最大的對手仍然是國民黨。她可以理解現在大家氣柯文哲，但她覺得成熟的政黨應該要了解，現在民進黨主要敵人在哪。 周玉蔻則提醒吳，民進黨的敵人是共產黨；共產黨的同路人是柯文哲。所以，柯文哲是民進黨的敵人無誤，投機的政治人物沒有好下場。 資深媒體人周玉蔻（圖）日前嗆民進黨立委吳思瑤「投機的政治人物沒有好下場」。 圖／聯合報系資料照分享  facebook   "
"539","t_title38","不再禮讓？王定宇：估柯文哲最近會變得很墨綠","2018-05-03 09:20"," 民進黨選對會召開的前一天晚上，民進黨秘書長洪耀福、選對會共同召集人林錫耀、陳明文與黃承國，先一步與台北市長柯文哲會面。消息傳出後，被外界引發諸多聯想。對此，民進黨中執會委員王定宇今日上節目表示，選對會與柯文哲會面，就是要談不再禮讓，會有會面的動機，也是因之前有談合作，估計最近柯文哲會講一些罵國民黨的話，讓自己變得很「墨綠」。 王定宇表示，民進黨中央沒有人要單獨跟柯文哲見面，這種互相證明是互不信任的一種態度，而今年台北市長選舉，民進黨目標依然是不讓國民黨當選，但台北市民更需要一位好市長這是更重要的，因此選對會內部聲音傳出是沒有禮讓空間，所以要推最強人選。 王定宇說，柯對台灣和中國的政策、面對威權的態度、市政作法、重大工程案的做法，許多基本價值都與民進黨不同，因此基層才會有不再禮讓柯文哲的聲音傳出。反觀若與柯合作，中南部民進黨選情勢必受到影響，因民眾不願跟著民進黨走，所以這像是一部黑色喜劇。 王定宇也說，預計柯文哲最近會罵一些國民黨的話，讓自己長得像墨綠，且北市府的政務官有些人有綠營背景，也會懂得操作政治，但是這種基本價值不是一兩天能演出來，柯文哲有國台辦、特定媒體、新黨、統促黨等多方的支持，但他對威權銅像和大巨蛋的處理，都讓人民不解，因此對政治越有想法的選民，早已決定是挺柯還是挺民進黨。 另外，主持人問到軍人年改的部分，王定宇表示，八百壯士應該要思考，他們怎麼做才是對軍人最好，而不是對自身利益的意識形態，軍改是否非改不可，這影響到整個國家政策面的問題，依照目前精算後鎖推政策，是把現役軍人福利提升、把已退軍人衝擊降到最低，按照委員會的時程，下週將進入逐條審查。民進黨立委王定宇。圖／Hit Fm《蔻蔻早餐》製作單位提供分享  facebook   "
"540","t_title39","民進黨啟動北市長徵詢 選對會多數主張自提人選","2018-05-02 17:13"," 台北市長柯文哲。 聯合報系記者魏莨伊／攝影分享  facebook   民進黨是否禮讓台北市長柯文哲受矚。選對會今天決定兩週內提出方案，主要成員昨天已拜會柯文哲，告知規畫時程，柯文哲對此表達尊重。但據了解，選對會多數成員主張自提人選。 民進黨在台北市要自推人選或是和柯文哲合作，備受各界關注。中國國民黨今天早上確定由前立法委員丁守中出戰台北市長選舉，民進黨選對會隨後開會討論台北市的因應方案。 民進黨發言人鄭運鵬會後轉述，選對會今天的討論有三個重點方向，第一，選對會將徵詢表態的黨內同志如立委姚文智、前副總統呂秀蓮、前台南縣長蘇煥智等人；第二，選對會也會拜訪台北市在地同志，如議員參選人、現任議員和里長；第三，會將徵詢內容提報選對會參考，兩週內做出提名策略決定。 鄭運鵬說，選對會共同召集人林錫耀在會中報告，林錫耀、選對會共同召集人陳明文、黨秘書長洪耀福和台北市黨部主委黃承國昨天前往拜會柯文哲，告知柯文哲民進黨的規劃時程，選對會要展開討論提名策略，柯文哲對民進黨機制啟動及可能決定表達尊重。 至於未來兩週是否還會再拜會柯文哲，鄭運鵬表示會內並沒有討論到這部分。 不具名與會人士表示，今天會中，選對會多數成員主張要自提人選，有一部分人則認為還要多方徵詢意見，但沒有人明確表態認為要禮讓，而會中也沒有討論柯文哲這個人，而是集中在討論提名策略。 與會人士表示，本來黨規劃的時程是在5月底提出方案，但因為國民黨已經提出人選，因此會中有人主張要提前、越快決定越好，所以選對會決定提前到2週內決定方案。 民主進步黨備戰年底九合一選舉，21個縣市已經完成18個縣市長提名，剩台北市、金門和馬祖待決定。"
"541","t_title40","影／拔管案 孫震批蔡政府無法無天","2018-05-02 11:55","  教育部上月27日駁回台灣大學新校長管中閔的聘任案，台大前校長孫震今天痛批政府「無法無天」，他認為，管中閔應該到法院告政府，羞辱他的人格，要求國家賠償。台大校長遴選委員會也不應屈從、接受教育部的亂命。孫震還說，教育部長吳茂昆已經造成天下大亂的局面，「我缺少智慧，想不出解決之道。」 孫震今天出席民主行動聯盟舉行的「學術良知大學自主」記者會上表示，1月5日台大校長遴委會選出財金系教授管中閔為台大校長，至今100多天，教育部窮盡洪荒之力，上窮碧落下黃泉，找各種理由讓管中閔不能就任校長，最後找到3個，一個是論文抄襲，一個中研院院士疑似抄襲EMBA碩士生的論文資料，第二個是疑似大陸大學違法兼職，第三是沒有揭露獨董身分涉利益迴避問題，但都沒有真憑實據。 孫震認為，教育部花這麼大的力氣找出3個理由，應該找出真憑實據和明確的法律見解，可是教育部卻是不斷發文給台大，要台大調查，但是台大給予的各種答覆，校務會議也做出支持遴委會的決議，教育部都不相信，「對一個知識份子的良心、正直和理性判斷都不相信嗎？」 「裝睡的人還在睡夢中」，孫震引蔡總統的名言，「裝睡的人叫不醒」，台大的所有答案，教育部都聽不懂，並做出一個違背真理、公義和法律的決定，「缺少政治上的智慧。」 孫震表示，因為政府不能「羅織罪名」入管中閔於罪，因此現在把責任推給台大遴委會，更提出兩個含糊的理由，一個是學術倫理正直價值沒有彰顯，但他看起來都已經彰顯了，只有裝睡的人還在睡夢中。 另一個是有重大經濟法律未迴避的疑慮，孫震也說，遴委會已經經過7小時開會充分討論，其中還有3個教育部代表。「只有骯髒的心眼、邪惡的眼睛」，才對所有台大提出的正當理由都不接受。 孫震指出，吳茂昆部長做的事，已經為政府和背後的黑手闖下大禍，為民進黨選舉造成很大影響，對台大和教育界造成多大傷害，讓全世界都在笑我們。 「吳茂昆部長，你知道你替台灣造成多大傷害，你能夠彌補嗎？」孫震無奈稱，自己缺少智慧，想不出解決之道。除了吳茂昆謝罪下台、行政院出來道歉之外，這件事在法律和政治上會沒完沒了，他不知道如何善其後。 孫震說他很同意台北市長柯文哲所說，「什麼樣的白癡做成這樣的決策」，讓自己不能下台，更讓台灣的學術界人士，沒有面目面對世界的學術界。"
